Fecha,Equipo1,Score,Equipo2,Resultado,Goles_equipo1,Goles_equipo2,Diferencia_goles
2003-11-23,Real Madrid,2 - 1,Albacete,Ganó,2,1,1
2003-11-09,Sevilla,4 - 1,Real Madrid,Perdió,4,1,3
2003-11-01,Real Madrid,3 - 0,Athletic,Ganó,3,0,3
2003-10-28,Real Zaragoza,0 - 0,Real Madrid,Empató,0,0,0
2003-10-25,Real Madrid,3 - 1,Racing,Ganó,3,1,2
2003-10-18,Celta,0 - 2,Real Madrid,Ganó,0,2,2
2003-10-05,Real Madrid,2 - 1,Espanyol,Ganó,2,1,1
2003-09-27,Valencia,2 - 0,Real Madrid,Perdió,2,0,2
2003-09-21,Málaga,1 - 3,Real Madrid,Ganó,1,3,2
2003-09-13,Real Madrid,7 - 2,Real Valladolid,Ganó,7,2,5
2003-09-02,Villarreal,1 - 1,Real Madrid,Empató,1,1,0
2003-08-30,Real Madrid,2 - 1,Real Betis,Ganó,2,1,1
2003-06-22,Real Madrid,3 - 1,Athletic,Ganó,3,1,2
2003-06-15,Atlético,0 - 4,Real Madrid,Ganó,0,4,4
2003-05-31,Real Madrid,1 - 1,Celta,Empató,1,1,0
2003-05-24,Valencia,1 - 2,Real Madrid,Ganó,1,2,1
2003-05-18,Real Madrid,5 - 1,Málaga,Ganó,5,1,4
2003-05-10,Recreativo,0 - 0,Real Madrid,Empató,0,0,0
2003-05-03,Real Madrid,1 - 5,Mallorca,Perdió,1,5,4
2003-04-27,Sevilla,1 - 3,Real Madrid,Ganó,1,3,2
2003-04-19,Real Madrid,1 - 1,Barcelona,Empató,1,1,0
2003-04-13,R. Sociedad,4 - 2,Real Madrid,Perdió,4,2,2
2003-04-05,Real Madrid,3 - 1,Rayo Vallecano,Ganó,3,1,2
2003-03-23,Real Madrid,2 - 0,RC Deportivo,Ganó,2,0,2
