Fecha,Equipo1,Score,Equipo2,Resultado,Goles_equipo1,Goles_equipo2,Diferencia_goles
2006-12-02,Real Betis,0 - 1,Atlético,Ganó,0,1,1
2006-11-25,Atlético,1 - 1,R. Sociedad,Empató,1,1,0
2006-11-19,Levante,0 - 3,Atlético,Ganó,0,3,3
2006-11-11,Atlético,3 - 1,Villarreal,Ganó,3,1,2
2006-11-04,Mallorca,0 - 0,Atlético,Empató,0,0,0
2006-10-29,Atlético,0 - 1,Real Zaragoza,Perdió,0,1,1
2006-10-21,RC Deportivo,1 - 0,Atlético,Perdió,1,0,1
2006-10-14,Atlético,2 - 1,Recreativo,Ganó,2,1,1
2006-10-01,Real Madrid,1 - 1,Atlético,Empató,1,1,0
2006-09-24,Atlético,2 - 1,Sevilla,Ganó,2,1,1
2006-09-17,Athletic,1 - 4,Atlético,Ganó,1,4,3
2006-09-09,Atlético,0 - 1,Valencia,Perdió,0,1,1
2006-08-27,Racing,0 - 1,Atlético,Ganó,0,1,1
2006-05-13,Atlético,1 - 1,Real Betis,Empató,1,1,0
2006-05-06,Valencia,1 - 1,Atlético,Empató,1,1,0
2006-05-03,Atlético,0 - 1,Osasuna,Perdió,0,1,1
2006-04-30,Atlético,0 - 1,Mallorca,Perdió,0,1,1
2006-04-22,Deportivo Alavés,0 - 1,Atlético,Ganó,0,1,1
2006-04-16,Atlético,1 - 0,Athletic,Ganó,1,0,1
2006-04-09,Espanyol,1 - 1,Atlético,Empató,1,1,0
2006-04-02,Atlético,0 - 3,Celta,Perdió,0,3,3
2006-03-26,Cádiz,1 - 1,Atlético,Empató,1,1,0
2006-03-23,Atlético,0 - 1,Sevilla,Perdió,0,1,1
2006-03-18,Villarreal,1 - 1,Atlético,Empató,1,1,0
2006-03-12,Atlético,2 - 1,Racing,Ganó,2,1,1
2006-03-04,Real Madrid,2 - 1,Atlético,Perdió,2,1,1
2006-02-25,Atlético,5 - 0,Málaga,Ganó,5,0,5
2006-02-19,Getafe,0 - 3,Atlético,Ganó,0,3,3
2006-02-12,Atlético,1 - 0,R. Sociedad,Ganó,1,0,1
2006-02-05,Barcelona,1 - 3,Atlético,Ganó,1,3,2
2006-01-28,Atlético,3 - 2,RC Deportivo,Ganó,3,2,1
2006-01-21,Real Zaragoza,0 - 2,Atlético,Ganó,0,2,2
2006-01-14,Real Betis,1 - 0,Atlético,Perdió,1,0,1
2006-01-08,Atlético,0 - 0,Valencia,Empató,0,0,0
2005-12-22,Osasuna,2 - 1,Atlético,Perdió,2,1,1
2005-12-18,Mallorca,2 - 2,Atlético,Empató,2,2,0
2005-12-11,Atlético,1 - 1,Deportivo Alavés,Empató,1,1,0
2005-12-03,Athletic,1 - 1,Atlético,Empató,1,1,0
2005-11-27,Atlético,1 - 1,Espanyol,Empató,1,1,0
